PCDHGB1	ABCA13	0.00021077268115788795
CACNA1C	PXDN	0.0007875724885986641
DSP	USH2A	1.2827239473232135e-05
MLL4	COL6A6	0.0002107726811578786
ATM	CAD	0.0007875724885986374
KSR1	RPL22	0.0004953331247504476
VPS13B	LZTR1	0.0005826612789569182
APC	BAZ2B	0.0007145237027115863
TAF1	DOCK1	0.00017483005019699153
LAMB2	BIRC6	0.00040227978719500326
ATM	DAPK1	0.0004861501299915159
SDK1	APC	3.6885628881892917e-06
FAT3	ATP10B	0.00014563726232444721
GPR98	UBR4	6.257965968577794e-05
SON	ITIH6	0.00027783729577094996
APC	CASK	0.0004100256057514914
COL6A6	PCNXL2	0.00031571235653829834
MACF1	DST	1.6311795516317503e-05
NBEA	ANK3	0.0009112962055163372
ANKRD30A	PLEC	0.000315712356538295
HYDIN	ROBO4	0.0002778372957709682
FAT3	LYST	0.0003328242894214479
SYNJ1	SLC26A9	0.0002778372957709682
ZFHX3	CDH4	0.00022903353376355445
VPS13B	DOCK1	0.00026651610251848747
LAMB1	DNAH1	0.0007145237027116527
TTN	FGD2	5.312037808626021e-05
DNAH9	HUWE1	0.00040227978719500326
CNTN3	TSC2	6.186419491562658e-05
ODZ1	LOXL2	3.316371089335875e-05
ASH1L	TTN	0.00011077867791858188
IGSF9B	FGD2	6.186419491562658e-05
ASXL3	TCF20	0.000315712356538295
UBR4	MYO3A	0.0009395954586374439
CSMD2	VPRBP	0.0008024603061822997
DMD	AKAP13	0.0009405912687219345
HMCN1	TTN	4.536884205834435e-06
LRRC66	MEGF8	0.00017969748987626855
NOS1	PCDHGA3	0.000513552162592188
TNS1	AMOTL2	0.00017969748987626597
INSR	PRKDC	0.00017969748987626597
ODZ4	TCF20	0.00010589305547879973
PARD3	HSPG2	0.00010957583581991693
IFT140	MUC17	0.00010589305547879954
PCDHA6	HCFC1	0.00041002560575148625
IGF2R	SORCS1	0.0002778372957709682
ATP10B	ARID4A	0.00010957583581991654
TIAM1	ABCC10	0.0004100256057514914
ZFAT	ITPR3	0.000315712356538295
STAG2	LZTR1	0.00010957583581991654
VPS13B	USH2A	1.2827239473232135e-05
CASK	PPRC1	6.186419491562658e-05
APC	FAT1	0.0009673618939670166
PCDHA4	SACS	1.1469137668887463e-05
ASXL3	YLPM1	0.00017969748987626597
MACF1	PRKDC	0.0003076281917458431
MYPN	FLNB	0.0001932989765424236
PXDN	PPFIA2	0.0007875724885986374
MACF1	ANK3	0.0005748331289985488
TAF1	UBR4	0.0006541960697818443
IFT140	ALPK2	0.00048615012999153747
ABCA12	LRP2	0.0009405912687218811
FBN3	PPRC1	0.00017969748987626597
CACNA1E	DNHD1	0.00040555994213225166
LRFN2	SPOP	0.0008024603061822897
ALMS1	PLEC	0.0004861501299915159
SON	ANK3	0.0005826612789569291
COL22A1	MDN1	0.0005052292517948738
CSMD2	MUC5B	0.0002795164966615466
WHSC1L1	IGSF22	0.00010957583581991693
SPTBN5	LRRC66	6.186419491562658e-05
INSR	JAG1	0.000513552162592188
LRRC66	ITIH6	0.00027783729577094996
NOTCH4	ZFHX3	0.0009300400425403091
SDK2	ANKRD11	0.00017969748987626597
ATP10B	TNRC6A	0.0007145237027116527
ANKRD30A	RNF213	0.00013824351079806205
DYNC2H1	ATP10B	0.0004861501299915159
ATP10A	ATP10B	0.00010957583581991693
UBR4	TTN	0.00014511032338588586
CASK	NIPBL	0.00017969748987626855
DNAH11	BRIP1	0.0004861501299915159
APOB	OTOF	0.0005052292517948465
ABCC10	RYR1	0.0004953331247504476
LRP1B	UBR4	0.0006966643836559751
PPFIA2	RYR1	0.00015427566935611082
NEB	TTN	5.921876048230274e-05
TRPM1	ZFHX3	0.0009300400425403091
ASPM	EP400	0.0009112962055163177
PCDHA4	ARID4A	0.0002778372957709682
ANK1	ZZEF1	0.0001932989765424236
FAT3	RPL22	7.474233273847365e-06
FREM2	DVL3	0.00048615012999153747
LRRC66	MUC16	0.0004825864565028021
CHD6	LRP1B	0.0008024603061822897
OBSCN	KIF5A	8.754703677899109e-05
APEX2	SHROOM3	6.186419491562658e-05
TRPM1	RYR1	0.0004953331247504476
MYH7B	MDN1	0.0002888753183782089
